Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
Insurance,Adherence ratio (%),Private,15961,60.14,Public,11990,61.25,-1.11,-3.426,0.0006,True,0.0014,True
Insurance,% adherent (≥80%),Private,15961,27.59,Public,11990,27.24,0.35,0.643,0.5201,False,0.6287,False
Insurance,Adherence ratio (%),Private,15961,60.14,Uninsured,740,52.28,7.86,7.175,0.0,True,0.0,True
Insurance,% adherent (≥80%),Private,15961,27.59,Uninsured,740,21.22,6.37,4.123,0.0,True,0.0,True
Insurance,Adherence ratio (%),Public,11990,61.25,Uninsured,740,52.28,8.97,8.148,0.0,True,0.0,True
Insurance,% adherent (≥80%),Public,11990,27.24,Uninsured,740,21.22,6.02,3.866,0.0001,True,0.0003,True
Cost share,Adherence ratio (%),≤5% OOP,9482,59.17,All other person-years,19209,61.02,-1.85,-5.443,0.0,True,0.0,True
Cost share,% adherent (≥80%),≤5% OOP,9482,25.94,All other person-years,19209,27.93,-1.99,-3.591,0.0003,True,0.0007,True
Cost share,Adherence ratio (%),5–25% OOP,5993,60.92,All other person-years,22698,60.27,0.65,1.727,0.0842,False,0.1257,False
Cost share,% adherent (≥80%),5–25% OOP,5993,26.08,All other person-years,22698,27.59,-1.51,-2.363,0.0182,True,0.0321,True
Cost share,Adherence ratio (%),25–50% OOP,3285,62.96,All other person-years,25406,60.07,2.89,6.127,0.0,True,0.0,True
Cost share,% adherent (≥80%),25–50% OOP,3285,28.07,All other person-years,25406,27.17,0.89,1.072,0.2837,False,0.379,False
Cost share,Adherence ratio (%),50–75% OOP,2297,63.37,All other person-years,26394,60.15,3.22,5.645,0.0,True,0.0,True
Cost share,% adherent (≥80%),50–75% OOP,2297,31.21,All other person-years,26394,26.93,4.28,4.26,0.0,True,0.0,True
Cost share,Adherence ratio (%),>75% OOP,7634,59.55,All other person-years,21057,60.72,-1.17,-3.123,0.0018,True,0.0039,True
Cost share,% adherent (≥80%),>75% OOP,7634,28.35,All other person-years,21057,26.89,1.46,2.432,0.015,True,0.0272,True
Cost share,Adherence ratio (%),≤5% OOP,9482,59.17,5–25% OOP,5993,60.92,-1.75,-4.059,0.0,True,0.0,True
Cost share,% adherent (≥80%),≤5% OOP,9482,25.94,5–25% OOP,5993,26.08,-0.14,-0.189,0.8505,False,0.8938,False
Cost share,Adherence ratio (%),≤5% OOP,9482,59.17,25–50% OOP,3285,62.96,-3.8,-7.289,0.0,True,0.0,True
Cost share,% adherent (≥80%),≤5% OOP,9482,25.94,25–50% OOP,3285,28.07,-2.12,-2.348,0.0189,True,0.0328,True
Cost share,Adherence ratio (%),≤5% OOP,9482,59.17,50–75% OOP,2297,63.37,-4.2,-6.853,0.0,True,0.0,True
Cost share,% adherent (≥80%),≤5% OOP,9482,25.94,50–75% OOP,2297,31.21,-5.27,-4.941,0.0,True,0.0,True
Cost share,Adherence ratio (%),≤5% OOP,9482,59.17,>75% OOP,7634,59.55,-0.38,-0.885,0.376,False,0.4791,False
Cost share,% adherent (≥80%),≤5% OOP,9482,25.94,>75% OOP,7634,28.35,-2.4,-3.51,0.0004,True,0.001,True
Cost share,Adherence ratio (%),5–25% OOP,5993,60.92,25–50% OOP,3285,62.96,-2.05,-3.725,0.0002,True,0.0005,True
Cost share,% adherent (≥80%),5–25% OOP,5993,26.08,25–50% OOP,3285,28.07,-1.99,-2.053,0.0401,True,0.0646,False
Cost share,Adherence ratio (%),5–25% OOP,5993,60.92,50–75% OOP,2297,63.37,-2.45,-3.843,0.0001,True,0.0003,True
Cost share,% adherent (≥80%),5–25% OOP,5993,26.08,50–75% OOP,2297,31.21,-5.13,-4.58,0.0,True,0.0,True
Cost share,Adherence ratio (%),5–25% OOP,5993,60.92,>75% OOP,7634,59.55,1.37,2.955,0.0031,True,0.0064,True
Cost share,% adherent (≥80%),5–25% OOP,5993,26.08,>75% OOP,7634,28.35,-2.27,-2.956,0.0031,True,0.0064,True
Cost share,Adherence ratio (%),25–50% OOP,3285,62.96,50–75% OOP,2297,63.37,-0.4,-0.573,0.5664,False,0.6675,False
Cost share,% adherent (≥80%),25–50% OOP,3285,28.07,50–75% OOP,2297,31.21,-3.15,-2.528,0.0115,True,0.0213,True
Cost share,Adherence ratio (%),25–50% OOP,3285,62.96,>75% OOP,7634,59.55,3.42,6.233,0.0,True,0.0,True
Cost share,% adherent (≥80%),25–50% OOP,3285,28.07,>75% OOP,7634,28.35,-0.28,-0.298,0.7655,False,0.8255,False
Cost share,Adherence ratio (%),50–75% OOP,2297,63.37,>75% OOP,7634,59.55,3.82,6.004,0.0,True,0.0,True
Cost share,% adherent (≥80%),50–75% OOP,2297,31.21,>75% OOP,7634,28.35,2.87,2.617,0.0089,True,0.0171,True
Delayed meds (cost),Adherence ratio (%),Delayed meds for cost,1395,57.14,All other person-years,27296,60.57,-3.43,-4.79,0.0,True,0.0,True
Delayed meds (cost),% adherent (≥80%),Delayed meds for cost,1395,21.72,All other person-years,27296,27.56,-5.84,-5.137,0.0,True,0.0,True
